Files,Shortnames,Dates,RA,DEC,Standard,Standard_error,Gravity,Index_burgasser,Index_burgasser_err,Index_allers,Index_allers_err,Index_reid,Index_reid_err
spex_prism_0420+2326_161013.fits,J0420+2326,161013, 04:20:51.70, 23:26:44.2,L0.0,0.7129972216848192,VL-G,L1.0,0.5845595385396187,M8.2,0.38388383649908747,L0.1,0.7882518872948779
spex_prism_0025-0334_160911.fits,J0025-0334,160911, 00:25:58.11,-03:34:05.6,M4.5,0.8648700296457583,,L5.9:,1.1105005799306915,M4.6,0.520373921910338,,
spex_prism_0048-0224_160911.fits,J0048-0224,160911, 00:48:16.39,-02:24:46.9,M4.0,0.5383671806600426,,L2.8,0.6496795182722299,,,,
spex_prism_0431+1544_161013.fits,J0431+1544,161013, 04:31:06.17, 15:44:28.9,M8.0,0.5,VL-G,L4.4:,1.1650563423819942,M6.2,0.37819597250069953,,
spex_prism_0028+0358.160908.fits,J0028+0358,160908, 00:28:59.35, 03:58:26.5,M4.0,0.8025770550063105,,L2.7,0.6479291783555325,M4.3,0.45805145024471483,,
spex_prism_0158+0227.160908.fits,J0158+0227,160908, 01:58:37.90, 02:27:19.1,M4.0,0.5,,L2.5,0.6484934122592251,,,,
spex_prism_1431-0313_170216.fits,J1431-0313,170216, 14:31:34.81,-03:13:07.2,L3.0:,1.029313760772474,INT-G,L7.4,0.6311099902598271,L4.6,0.7130388966631344,L5.5,0.8164210086403821
spex_prism_0042+0021.160908.fits,J0042+0021,160908, 00:28:59.35, 03:58:26.5,M4.0,0.7824780075128018,,L2.6,0.647894224774633,M4.2,0.4588886712479993,,
spex_prism_0344+0136_160921.fits,J0344+0136,160921, 03:44:09.98, 01:36:37.4,L8.0:,1.2499223871205674,INT-G,L8.6,0.8326568201179713,L3.9,1.0488254031872217,L2.2:,1.4342252074068227
spex_prism_0341+3157_161031.fits,J0341+3157,161031, 03:41:33.33, 31:57:47.3,M5.0,0.6037310396683294,,L6.2:,1.1510014602108383,M4.5,0.49589477363821927,,
spex_prism_2344+0100.160908.fits,J2344+0100,160908, 23:44:25.21, 01:00:07.9,M3.0,0.5,,L3.5,0.6682472627401628,,,,
spex_prism_0901+3818_170216.fits,J0901+3818,170216, 09:01:53.60, 38:18:45.1,M9.0,0.5248938762879519,FLD-G,L2.2:,1.2245023184065273,M8.1,0.41742762878503753,M9.1,0.8023627904417788
spex_prism_1830-0209_170903.fits,J1830-0209,170903, 18:30:37.20,-02:09:39.7,L7.0,0.5989754024420643,INT-G,L2.9::,3.3182582354000174,L1.3,0.7373641755971693,L1.6::,2.1927603045888473
spex_prism_0207-0812_160911.fits,J0207-0812,160911, 02:07:32.36,-08:12:32.0,M4.0,0.5004027227207309,,L2.5,0.6492567283348352,M5.5,0.40056411007039666,,
spex_prism_1830-0153_170731.fits,J1830-0153,170731, 18:30:29.85,-01:53:55.6,L7.0,0.7784741675659513,VL-G,T2.1:,1.1763253526673934,L1.0,0.42611720672438097,,
spex_prism_1619-2410_170210.fits,J1619-2410,170210, 16:19:16.38,-24:10:28.0,M9.0,0.5034302424114875,VL-G,L1.4,0.653910440241481,M6.4,0.32120360103026735,,
spex_prism_0158-1817_160911.fits,J0158-1817,160911, 01:58:54.77,-18:18:00.2,M4.0,0.5000001256242108,,T1.1,0.2897818597700659,M5.0,0.4048078781051348,,
spex_prism_0411+2832_161012.fits,J0411+2832,161012, 04:11:17.10, 28:32:01.3,L7.0,0.5444540409959469,VL-G,L5.5,0.6739146328202904,M6.6,0.33915957355349136,M8.9:,1.0282455176521008
spex_prism_1457+4724_170428.fits,J1457+4724,170428, 14:57:34.29, 47:24:27.7,T7.0,0.5002985195848744,FLD-G,T6.2,0.2686128138470563,M6.1:,1.9266246615665432,,
spex_prism_0420+2326_161012.fits,J0420+2326,161012, 04:20:51.57, 23:26:36.7,L0.0,0.7629045025585297,VL-G,L0.9,0.744002910502165,M9.2,0.6103925292434504,L0.7:,1.172279150182504
spex_prism_1615-2110_170210.fits,J1615-2110,170210, 16:15:45.64,-21:10:32.2,M6.0,0.5000000080465519,,L5.5:,1.1015225592063695,M5.1,0.3095863260851559,,
spex_prism_0430+2530_170105.fits,J0430+2530,170105, 04:30:48.95, 25:30:34.2,M4.0,0.7139021677012313,,L8.5:,1.0647398373077381,,,,
spex_prism_2323+0514_160929.fits,J2323+0514,160929, 23:23:06.72, 05:41:09.4,M7.5,0.8592180160524869,,L6.7,0.6206574451846225,L7.8,0.8691526005444963,L5.8:,1.0873676890206783
spex_prism_0421+2703_170105.fits,J0421+2703,170105, 04:21:04.54, 27:03:13.4,L7.0,0.7929958748975211,INT-G,T1.5:,1.0676969839018482,L3.6,0.5538375194092946,,
spex_prism_1620-2312_170210.fits,J1620-2312,170210, 16:20:48.55,-23:12:52.5,M9.0,0.6826247647053113,VL-G,L1.4,0.6510667039302107,M6.4,0.30636173879446904,M8.7:,1.0229255021192791
